"id","original_title","title","original_language","overview","tagline","release_date","poster_path","popularity","vote_count","vote_average","budget","revenue","runtime","status","adult","backdrop_path","genre_names","collection","collection_name"
760161,"Orphan: First Kill","Orphan: First Kill","en","After escaping from an Estonian psychiatric facility, Leena Klammer travels to America by impersonating Esther, the missing daughter of a wealthy family. But when her mask starts to slip, she is put against a mother who will protect her family from the murderous “child” at any cost.","There's always been something wrong with Esther.","2022-07-27","/pHkKbIRoCe7zIFvqan9LFSaQAde.jpg",5088.584,902,6.9,0,9572765,99,"Released",FALSE,"/5GA3vV1aWWHTSDO5eno8V5zDo8r.jpg","Horror, Thriller",760193,"Orphan Collection"
760741,"Beast","Beast","en","A recently widowed man and his two teenage daughters travel to a game reserve in South Africa. However, their journey of healing soon turns into a fight for survival when a bloodthirsty lion starts to stalk them.","Fight for family.","2022-08-11","/xIGr7UHsKf0URWmyyd5qFMAq4d8.jpg",2172.338,584,7.1,0,56000000,93,"Released",FALSE,"/2k9tBql5GYH328Krj66tDT9LtFZ.jpg","Adventure, Drama, Horror",NA,NA
882598,"Smile","Smile","en","After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain. As an overwhelming terror begins taking over her life, Rose must confront her troubling past in order to survive and escape her horrifying new reality.","Once you see it, it’s too late.","2022-09-23","/hiaeZKzwsk4y4atFhmncO5KRxeT.jpg",1863.628,114,6.8,17000000,45000000,115,"Released",FALSE,"/mVNPfpydornVe4H4UCIk7WevWjf.jpg","Horror, Mystery, Thriller",NA,NA
756999,"The Black Phone","The Black Phone","en","Finney Blake, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.","Never talk to strangers.","2022-06-22","/lr11mCT85T1JanlgjMuhs9nMht4.jpg",1071.398,2736,7.9,18800000,161000000,103,"Released",FALSE,"/AfvIjhDu9p64jKcmohS4hsPG95Q.jpg","Horror, Thriller",NA,NA
772450,"Presencias","Presences","es","A man who loses his wife and goes to seclude himself in a cabin in the woods, where strange things happen.","","2022-09-07","/dgDT3uol3mdvwEg0jt1ble3l9hw.jpg",1020.995,83,7,0,0,0,"Released",FALSE,"/ojfzhdwRemcDt1I6pao6vVLw9AA.jpg","Horror",NA,NA
1014226,"Sonríe","Sonríe","es","","","2022-08-18","/wHowKf77gNZbVo9yu5ggiNBFCdJ.jpg",939.712,1,1,0,0,0,"Released",FALSE,NA,"Horror, Thriller",NA,NA
717728,"Jeepers Creepers: Reborn","Jeepers Creepers: Reborn","en","Forced to travel with her boyfriend to a horror festival, Laine begins to experience disturbing visions associated with the urban legend of The Creeper. As the festival arrives and the blood-soaked entertainment builds to a frenzy, she becomes the center of it while something unearthly has been summoned.","Evil Rides Again","2022-09-15","/aGBuiirBIQ7o64FmJxO53eYDuro.jpg",821.605,125,5.8,20000000,2892594,88,"Released",FALSE,"/tIX6j3NzadlwGcJ52nuWdmtOQkg.jpg","Horror, Mystery, Thriller",94899,"Jeepers Creepers Collection"
762504,"Nope","Nope","en","Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery.","What’s a bad miracle?","2022-07-20","/AcKVlWaNVVVFQwro3nLXqPljcYA.jpg",733.112,1684,7,68000000,170800000,130,"Released",FALSE,"/xVbppM1xgbskOKgOuV8fbWBWHtt.jpg","Horror, Mystery, Science Fiction, Thriller",NA,NA
927341,"Hunting Ava Bravo","Hunting Ava Bravo","en","Billionaire sportsman Buddy King unwinds by hunting human captives on his remote mountain estate. But his latest victim, Ava Bravo is no easy target.","""If I die, you die""","2022-04-01","/etc6HKBEhNySNnYU2nRgbSeIyoW.jpg",574.832,73,6.5,0,0,90,"Released",FALSE,"/pkLegAR3G5T63B2Xz2ijbD1BAm8.jpg","Action, Adventure, Crime, Drama, Horror, Mystery, Thriller, War",NA,NA
760104,"X","X","en","In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.","Dying to show you a good time.","2022-03-17","/woTQx9Q4b8aO13jR9dsj8C9JESy.jpg",543.67,1035,6.8,10000000,14257609,106,"Released",FALSE,"/21ldFAokKVjwzi1SHXoPb5gc7md.jpg","Horror, Mystery, Thriller",950289,"X Collection"
